"","Year","Mileage","Price","Color","Location","Model","Age"
"513",2008,26283,15973,"gray","Dallas","SEL",1
"514",2006,21234,12987,"gray","Dallas","SE",3
"515",2006,32042,11998,"gray","Dallas","SEL",3
"516",2006,18319,11987,"gray","Dallas","SEL",3
"517",2004,31250,10000,"gray","Dallas","SE",5
"518",2007,31783,9999,"gray","Dallas","SE",2
"519",2007,46888,9995,"gray","Dallas","SE",2
"520",2005,46379,9945,"gray","Dallas","SEL",4
"521",2003,43423,8991,"gray","Dallas","SEL",6
"522",2006,46635,8983,"gray","Dallas","SE",3
"523",2007,33625,8979,"gray","Dallas","SE",2
"524",2006,55332,8977,"gray","Dallas","SE",3
"525",2007,46639,8950,"gray","Dallas","SE",2
"526",2005,62381,7992,"gray","Dallas","SE",4
"527",2002,31140,7991,"gray","Dallas","SES",7
"528",2006,61788,7950,"gray","Dallas","SE",3
"529",2005,60346,7888,"gray","Dallas","SE",4
"530",2006,77188,7675,"gray","Dallas","SE",3
"531",2007,54760,7450,"gray","Dallas","SE",2
"532",2007,32000,7400,"gray","Dallas","SE",2
"533",2005,65863,6983,"gray","Dallas","SEL",4
"534",2004,73063,6980,"gray","Dallas","SES",5
"535",2004,98250,6950,"gray","Dallas","SES",5
"536",2006,75800,6750,"gray","Dallas","SE",3
"537",2002,50575,5988,"gray","Dallas","SE",7
"538",2002,131876,4995,"gray","Dallas","SES",7
"539",2001,99134,4992,"gray","Dallas","SES",8
"540",2004,70000,4950,"gray","Dallas","SE",5
"541",2004,95000,4750,"gray","Dallas","SES",5
"542",1999,62969,4500,"gray","Dallas","SE",10
"543",2003,59000,4450,"gray","Dallas","SE",6
"544",2003,NA,3995,"gray","Dallas","SES",6
"545",2002,133458,3200,"gray","Dallas","SES",7
"546",2001,150000,2500,"gray","Dallas","SE",8
"547",2007,42625,8995,"gray","St Paul","SEL",2
"548",2007,45011,8988,"gray","St Paul","SEL",2
"549",2003,79578,8888,"gray","St Paul","SEL",6
"550",2004,70037,6995,"gray","St Paul","SES",5
"551",2005,65133,6990,"gray","St Paul","SE",4
"552",2005,87743,5880,"gray","St Paul","SEL",4
"553",2001,47920,4995,"gray","St Paul","SES",8
"554",2001,123055,4455,"gray","St Paul","SE",8
"555",2008,35508,13995,"green","St Paul","SEL",1
"556",2008,78416,12485,"green","St Paul","SEL",1
"557",2006,43125,10599,"green","Dallas","SEL",3
"558",2007,33231,9950,"green","Dallas","SE",2
"559",2006,68955,8495,"green","Dallas","SEL",3
"560",2006,79608,7995,"green","Dallas","SEL",3
"561",2006,91050,7950,"green","Dallas","SE",3
"562",2007,37000,7250,"green","Dallas","SE",2
"563",2006,70192,6995,"green","Dallas","SEL",3
"564",2006,87291,6950,"green","Dallas","SE",3
"565",2005,57000,5300,"green","Dallas","SE",4
"566",1998,125000,2599,"green","Dallas","LX",11
"567",2004,114000,5995,"green","St Paul","SEL",5
"568",1994,91000,1495,"green","St Paul","GL",15
"569",2006,39021,11611,"green","Dallas","SEL",3
"570",2006,58000,5900,NA,"Dallas","SE",3
"571",2005,45000,4950,NA,"Dallas","SEL",4
"572",2003,88000,4500,NA,"Dallas","SE",6
"573",1997,118000,2250,NA,"Dallas",NA,12
"574",2006,100000,8900,NA,"St Paul","SE",3
"575",2001,94028,4997,NA,"St Paul","SES",8
"576",2007,59903,8999,"red","St Paul","SEL",2
"577",2007,49591,9900,"red","Dallas","SE",2
"578",2003,109892,5495,"red","Dallas","SES",6
"579",1999,89986,5995,"red","St Paul","SE",10
"580",2000,104675,4995,"red","St Paul","SES",9
"581",2007,28640,9995,"white","Dallas","SE",2
"582",2009,5023,19988,"white","St Paul","SEL",0
"583",2008,19102,17499,"white","St Paul","SEL",1
"584",2008,22451,15988,"white","St Paul","Limited",1
"585",2008,22613,14997,"white","St Paul","SEL",1
"586",2008,17877,14997,"white","St Paul","SEL",1
"587",2008,16304,14480,"white","St Paul","Limited",1
"588",2007,41268,9291,"white","St Paul","SE",2
"589",2009,6571,19998,"white","Dallas","SEL",0
"590",2008,15261,19326,"white","Dallas","Limited",1
"591",2008,31339,18989,"white","Dallas","Limited",1
"592",2008,15539,18474,"white","Dallas","SEL",1
"593",2008,13622,17981,"white","Dallas","SEL",1
"594",2008,27942,17981,"white","Dallas","SEL",1
"595",2008,23606,17981,"white","Dallas","SEL",1
"596",2008,12515,17398,"white","Dallas","SEL",1
"597",2007,30041,15995,"white","Dallas","SEL",2
"598",2006,47844,11991,"white","Dallas","SEL",3
"599",2007,43546,11987,"white","Dallas","SEL",2
"600",2007,43018,10998,"white","Dallas","SEL",2
"601",2006,47800,10990,"white","Dallas","SE",3
"602",2007,39406,10900,"white","Dallas","SE",2
"603",2006,50420,10599,"white","Dallas","SEL",3
"604",2005,36520,9998,"white","Dallas","SE",4
"605",2007,42754,9888,"white","Dallas","SE",2
"606",2005,39832,9599,"white","Dallas","SE",4
"607",2006,57008,8999,"white","Dallas","SE",3
"608",2004,38130,8995,"white","Dallas","SE",5
"609",2005,64347,7990,"white","Dallas","SE",4
"610",2007,23450,7950,"white","Dallas","SEL",2
"611",2004,87292,7488,"white","Dallas","SES",5
"612",2004,63980,7476,"white","Dallas","SE",5
"613",2002,79068,6973,"white","Dallas","SES",7
"614",2003,56623,6900,"white","Dallas","SE",6
"615",2005,87000,6500,"white","Dallas",NA,4
"616",2004,90000,5000,"white","Dallas","SEL",5
"617",2003,110000,4000,"white","Dallas","SES",6
"618",2001,NA,3495,"white","Dallas","SES",8
"619",1996,103290,2999,"white","Dallas","GL",13
"620",2002,57526,7998,"white","St Paul","SES",7
"621",2006,50526,7977,"white","St Paul","SE",3
"622",2007,89263,6995,"white","St Paul","SE",2
"623",2004,60215,6950,"white","St Paul","SE",5
"624",2002,80333,5950,"white","St Paul","SES",7
"625",2003,91208,5950,"white","St Paul","SE",6
"626",2003,60375,5950,"white","St Paul","SE",6
"627",2001,90767,4990,"white","St Paul","SES",8
"628",1999,99375,4855,"white","St Paul","SE",10
"629",2001,93000,4450,"white","St Paul","SEL",8
"630",2002,121120,3995,"white","St Paul","SE",7
"631",2000,NA,3950,"white","St Paul","SE",9
"632",1999,123516,3499,"white","St Paul","SE",10
"633",1994,146961,2995,"white","St Paul","GL",15
"634",1996,173654,1999,"white","St Paul","GL",13
"635",2008,5891,18473,"white","Dallas","SEL",1
